Икономически дейности (код по НКИД )	Наименование на икономическа дейност	Ръко-водни служи-тели	Анали-тични специа-листи	Приложни специа-листи	Помощен персонал	Персонал зает с услуги за насел., охрана и търговия	Производители в селското, горското и рибното стоп., ловци и риболовци	Квалифи-цирани производ-ствени работници	Оператори на съоръже-ния, машини и трансп. средства	Ниско-квалифи-цирани работници
853	Социални дейности	159	153	153	150	150	150	150	150	150
8531	Дейност на заведения за социални услуги с настаняване	159	153	153	150	150	150	150	150	150
8532	Дейност на заведения за социални услуги без настаняване	159	153	153	150	150	150	150	150	150
900	Събиране и третиране на отпадъци, почистване и възстановяване	330	200	195	150	150	150	175	160	150
9001	Събиране и третиране на отпадъчни води	330	200	195	150	150	150	175	160	150
9002	Събиране и третиране на други отпадъци	330	200	195	150	150	150	175	160	150
9003	Почистване, възстановяване и подобни дейности	330	200	195	150	150	150	175	160	150
911	Дейности на бизнесорганизации, организации на работодатели и професионални организации	355	250	185	150	150	150	170	155	150
9111	Дейности на бизнесорганизации и организации на работодатели	355	250	185	150	150	150	170	155	150
9112	Дейности на професионални съюзи и организации 	355	250	185	150	150	150	170	155	150
912	Дейности на синдикални организации	355	250	185	150	150	150	170	155	150
9120	Дейности на синдикални организации	355	250	185	150	150	150	170	155	150
913	Дейности на религиозни, политически и други организации с нестопанска цел	355	250	185	150	150	150	170	155	150
9131	Дейности на религиозни организации	355	250	185	150	150	150	170	155	150
9132	Дейности на политически организации	355	250	185	150	150	150	170	155	150
9133	Дейности на други организации с нестопанска цел, некласифицирани другаде	355	250	185	150	150	150	170	155	150
921	Производство, разпространение и прожектиране на кино- и видеофилми	275	190	155	150	150	150	165	155	150
9211	Производство на кино- и видеофилми	275	190	155	150	150	150	165	155	150
9212	Разпространение на кино- и видеофилми	275	190	155	150	150	150	165	155	150
9213	Прожектиране на филми	275	190	155	150	150	150	165	155	150
922	Радио- и телевизионна дейност	275	190	155	150	150	150	165	155	150
9220	Радио- и телевизионна дейност	275	190	155	150	150	150	165	155	150
923	Артистична, творческа и развлекателна дейност	275	190	155	150	150	150	165	155	150
9231	Артистична и творческа дейност	275	190	155	150	150	150	165	155	150
9232	Експлоатация на театрални сгради, музикални и концертни зали и студиа	275	190	155	150	150	150	165	155	150
9233	Дейности на панаири и увеселителни паркове 	275	190	155	150	150	150	165	155	150
9234	Други развлекателни дейности, некласифицирани другаде 	275	190	155	150	150	150	165	155	150
924	Дейности на информационни агенции	275	190	155	150	150	150	165	155	150
9240	Дейности на информационни агенции	275	190	155	150	150	150	165	155	150
925	Дейности на библиотеки, архиви, музеи и галерии 	275	190	155	150	150	150	165	155	150
9251	Дейности на библиотеки и архиви 	275	190	155	150	150	150	165	155	150
9252	"Дейности на музеи и галерии; опазване на паметници на културата"	275	190	155	150	150	150	165	155	150
9253	Поддържане и експлоатация на ботанически градини, зоопаркове и природни резервати	275	190	155	150	150	150	165	155	150
926	Дейности в областта на физическата култура и спорта	275	190	155	150	150	150	165	155	150
9261	Поддържане и експлоатация на спортни обекти и съоръжения	275	190	155	150	150	150	165	155	150
9262	Други дейности в областта на физическата култура и спорта	275	190	155	150	150	150	165	155	150
927	Други дейности, свързани със свободното време 	275	190	155	150	150	150	165	155	150
9271	Залагания и хазарт	275	190	155	150	150	150	165	155	150
9272	Други дейности, свързани със свободното време, некласифицирани другаде	275	190	155	150	150	150	165	155	150
930	Други услуги за населението	215	175	155	150	150	150	175	155	150
9301	Пране и химическо чистене на текстилни и кожени изделия	215	175	155	150	150	150	175	155	150
9302	Бръснаро-фризьорски и козметични услуги	215	175	155	150	150	150	175	155	150
9303	Дейности, свързани с погребения или кремация	215	175	155	150	150	150	175	155	150
9304	Дейности по поддържане на физическото състояние	215	175	155	150	150	150	175	155	150
9305	Други услуги за населението, некласифицирани другаде	215	175	155	150	150	150	175	155	150
950	Дейности на домакинства като работодатели на домашен персонал	215	175	155	150	150	150	175	155	150
9500	Дейности на домакинства като работодатели на домашен персонал	215	175	155	150	150	150	175	155	150
960	Недиференцирани дейности на домакинства като производители на стоки за собствено потребление	215	175	155	150	150	150	175	155	150
9600	Недиференцирани дейности на домакинства като производители на стоки за собствено потребление	215	175	155	150	150	150	175	155	150
970	Недиференцирани дейности на домакинства като производители на услуги за собствено потребление	215	175	155	150	150	150	175	155	150
9700	Недиференцирани дейности на домакинства като производители на услуги за собствено потребление	215	175	155	150	150	150	175	155	150
990	Екстериториални организации и служби	355	250	185	150	150	150	170	155	150
9900	Екстериториални организации и служби	355	250	185	150	150	150	170	155	150
